,pair_id,similarity_alg,relation,similarity_crowd_simple_maj,similarity_crowd_simple_mean,similarity_crowd_simple_median
0,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0009-DN370863-2_Tender_DN370863-2,2,16,1,1.28,1.0
1,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0020-csw-jets_7167_Tender_csw-jets_7167,2,8,1,0.7272727272727273,1.0
2,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB283377_Tender_FEB283377,2,18,1,0.9545454545454546,1.0
3,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB284874_Tender_FEB284874,2,11,1,1.4782608695652173,1.0
4,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB284875_Tender_FEB284875,2,7,1,1.1176470588235294,1.0
5,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB285287_Tender_FEB285287,2,13,2,1.375,1.0
6,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB285418_Tender_FEB285418,1,26,1,1.0,1.0
7,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB285503_Tender_FEB285503,1,25,1,0.9130434782608695,1.0
8,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB285545_Tender_FEB285545,1,27,0,0.23076923076923078,0.0
9,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB344622_Tender_FEB344622,2,9,0,0.7272727272727273,0.5
10,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-JAN281673_Tender_JAN281673,2,14,1,1.2173913043478262,1.0
11,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-JAN342458_Tender_JAN342458,3,5,1,1.0909090909090908,1.0
12,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-MAR288703_Tender_MAR288703,3,1,2,1.05,1.0
13,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-002672-2019_Tender_002672-2019_td,2,12,2,1.7894736842105263,2.0
14,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-007397-2019_Tender_007397-2019_td,2,10,0,0.8461538461538461,1.0
15,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-011742-2019_Tender_011742-2019_td,2,17,1,0.9565217391304348,1.0
16,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-011869-2019_Tender_011869-2019_td,3,3,1,1.3043478260869565,1.0
17,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-012224-2019_Tender_012224-2019_td,2,15,0,0.6956521739130435,0.0
18,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-038622-2019_Tender_038622-2019_td,3,2,2,1.5454545454545454,2.0
19,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-046386-2019_Tender_046386-2019_td,1,28,0,0.38461538461538464,0.0
20,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-096007-2019_Tender_096007-2019_td,3,4,0,0.7727272727272727,1.0
21,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0009-DN379053-2_Tender_DN379053-2,2,14,0,0.5454545454545454,0.5
22,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0022-FEB284721_Tender_FEB284721,1,26,0,0.6,0.0
23,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0022-FEB285290_Tender_FEB285290,1,25,2,1.5263157894736843,2.0
24,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0022-JAN280239_Tender_JAN280239,3,1,3,2.8181818181818183,3.0
25,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0133-002521-2019_Tender_002521-2019_td,0,34,0,0.09090909090909091,0.0
26,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0133-011876-2019_Tender_011876-2019_td,3,3,3,2.8,3.0
27,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0009-DN398295-1_Tender_DN398295-1,2,16,0,0.6521739130434783,1.0
28,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0022-FEB285222_Tender_FEB285222,1,26,0,0.625,0.5
29,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0022-FEB285619_Tender_FEB285619,1,25,0,0.7142857142857143,1.0
30,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0022-JAN281686_Tender_JAN281686,2,15,0,0.45454545454545453,0.0
31,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0133-012216-2019_Tender_012216-2019_td,2,14,0,0.7727272727272727,1.0
32,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0133-025935-2019_Tender_025935-2019_td,2,13,1,0.9166666666666666,1.0
33,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0133-132773-2019_Tender_132773-2019_td,3,4,1,1.125,1.0
34,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0009-DN341148-4_Tender_DN341148-4,2,12,2,1.1818181818181819,2.0
35,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0009-DN359933-1_Tender_DN359933-1,2,14,0,0.391304347826087,0.0
36,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0009-DN400255-1_Tender_DN400255-1,3,1,2,2.15,2.0
37,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0020-norfolkcc_1436_Tender_norfolkcc_1436,2,7,2,2.0,2.0
38,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-FEB284874_Tender_FEB284874,2,10,2,2.04,2.0
39,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-FEB285608_Tender_FEB285608,1,27,1,0.9523809523809523,1.0
40,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-FEB285761_Tender_FEB285761,1,26,0,0.2916666666666667,0.0
41,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-FEB285930_Tender_FEB285930,1,25,1,1.32,1.0
42,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-JAN342482_Tender_JAN342482,2,18,0,0.30434782608695654,0.0
43,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-MAR286425_Tender_MAR286425,2,22,1,1.1,1.0
44,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0117-140049_Tender_140049,2,8,0,0.75,1.0
45,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0117-146519_Tender_146519,2,15,0,0.25,0.0
46,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0133-002154-2019_Tender_002154-2019_td,2,16,0,0.42857142857142855,0.0
47,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0133-016480-2019_Tender_016480-2019_td,2,9,1,0.8333333333333334,1.0
48,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0133-016797-2019_Tender_016797-2019_td,2,11,2,2.0,2.0
49,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0133-030682-2019_Tender_030682-2019_td,2,13,0,0.4230769230769231,0.0
50,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0133-077155-2019_Tender_077155-2019_td,1,29,2,1.7391304347826086,2.0
51,ocds-0c46vo-0005-41036_Tender_41036ocds-0c46vo-0022-FEB284720_Tender_FEB284720,2,14,2,1.875,2.0
52,ocds-0c46vo-0005-41036_Tender_41036ocds-0c46vo-0022-FEB285611_Tender_FEB285611,2,7,1,0.9565217391304348,1.0
53,ocds-0c46vo-0005-41036_Tender_41036ocds-0c46vo-0049-E65365882_Tender_E65365882,1,25,0,0.11764705882352941,0.0
54,ocds-0c46vo-0005-41036_Tender_41036ocds-0c46vo-0133-024194-2019_Tender_024194-2019_td,3,1,3,2.888888888888889,3.0
55,ocds-0c46vo-0005-41036_Tender_41036ocds-0c46vo-0133-030999-2019_Tender_030999-2019_td,2,8,0,0.625,0.0
56,ocds-0c46vo-0005-41036_Tender_41036ocds-0c46vo-0133-047064-2019_Tender_047064-2019_td,2,13,3,1.875,2.0
57,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0020-queensuniversitybelfast_991_Tender_queensuniversitybelfast_991,2,16,1,0.6818181818181818,1.0
58,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0020-sheffield_1955_Tender_sheffield_1955,2,8,0,0.85,1.0
59,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB282678_Tender_FEB282678,2,15,0,0.65,0.0
60,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB284639_Tender_FEB284639,2,17,0,0.4583333333333333,0.0
61,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB285103_Tender_FEB285103,1,25,0,0.5,0.0
62,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB285396_Tender_FEB285396,0,34,1,0.75,1.0
63,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB285575_Tender_FEB285575,1,27,0,0.4583333333333333,0.0
64,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB285724_Tender_FEB285724,1,26,0,0.6521739130434783,0.0
65,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB285732_Tender_FEB285732,1,33,0,0.65,0.0
66,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB285802_Tender_FEB285802,1,29,1,0.782608695652174,1.0
67,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB285806_Tender_FEB285806,2,18,1,1.3043478260869565,1.0
68,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-JAN281518_Tender_JAN281518,2,7,3,2.4761904761904763,3.0
69,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-MAR286089_Tender_MAR286089,2,13,1,1.2272727272727273,1.0
70,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0117-114662_Tender_114662,1,31,1,0.7083333333333334,1.0
71,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0117-147826_Tender_147826,2,10,2,1.52,2.0
72,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0133-015735-2019_Tender_015735-2019_td,2,14,0,0.6,0.0
73,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0133-066499-2019_Tender_066499-2019_td,3,1,0,0.68,0.0
74,ocds-0c46vo-0005-41096_Tender_41096ocds-0c46vo-0022-FEB285173_Tender_FEB285173,2,7,0,0.7083333333333334,0.0
75,ocds-0c46vo-0005-41096_Tender_41096ocds-0c46vo-0022-FEB343839_Tender_FEB343839,2,8,0,0.47619047619047616,0.0
76,ocds-0c46vo-0005-41096_Tender_41096ocds-0c46vo-0022-FEB344783_Tender_FEB344783,2,14,0,0.5454545454545454,0.0
77,ocds-0c46vo-0005-41096_Tender_41096ocds-0c46vo-0022-FEB346855_Tender_FEB346855,2,13,1,0.9523809523809523,1.0
78,ocds-0c46vo-0005-41096_Tender_41096ocds-0c46vo-0117-141341_Tender_141341,1,25,0,0.7,0.0
79,ocds-0c46vo-0005-41096_Tender_41096ocds-0c46vo-0133-030743-2019_Tender_030743-2019_td,3,1,3,3.0,3.0
80,ocds-0c46vo-0005-41203_Tender_41203ocds-0c46vo-0009-DN387392-1_Tender_DN387392-1,2,14,0,0.84,1.0
81,ocds-0c46vo-0005-41203_Tender_41203ocds-0c46vo-0022-FEB285444_Tender_FEB285444,1,25,0,0.5714285714285714,0.0
82,ocds-0c46vo-0005-41203_Tender_41203ocds-0c46vo-0022-FEB345771_Tender_FEB345771,2,7,1,0.7,1.0
83,ocds-0c46vo-0005-41203_Tender_41203ocds-0c46vo-0022-MAR287978_Tender_MAR287978,3,1,0,0.8421052631578947,1.0
84,ocds-0c46vo-0005-41203_Tender_41203ocds-0c46vo-0133-007289-2019_Tender_007289-2019_td,2,8,0,0.4782608695652174,0.0
85,ocds-0c46vo-0005-41204_Tender_41204ocds-0c46vo-0005-41205_Tender_41205,3,1,3,2.782608695652174,3.0
86,ocds-0c46vo-0005-41204_Tender_41204ocds-0c46vo-0022-FEB284020_Tender_FEB284020,2,15,2,2.1904761904761907,2.0
87,ocds-0c46vo-0005-41204_Tender_41204ocds-0c46vo-0022-FEB285135_Tender_FEB285135,1,25,0,0.6923076923076923,0.5
88,ocds-0c46vo-0005-41204_Tender_41204ocds-0c46vo-0096-JAN156413_Tender_JAN156413,2,13,1,1.1,1.0
89,ocds-0c46vo-0005-41204_Tender_41204ocds-0c46vo-0117-146173_Tender_146173,2,7,2,1.2727272727272727,1.0
90,ocds-0c46vo-0005-41204_Tender_41204ocds-0c46vo-0133-003061-2019_Tender_003061-2019_td,1,26,1,0.6666666666666666,1.0
91,ocds-0c46vo-0005-41205_Tender_41205ocds-0c46vo-0005-41204_Tender_41204,3,1,3,2.75,3.0
92,ocds-0c46vo-0005-41205_Tender_41205ocds-0c46vo-0022-FEB284020_Tender_FEB284020,2,15,2,2.0,2.0
93,ocds-0c46vo-0005-41205_Tender_41205ocds-0c46vo-0022-FEB285135_Tender_FEB285135,1,25,1,0.8,1.0
94,ocds-0c46vo-0005-41205_Tender_41205ocds-0c46vo-0096-JAN156413_Tender_JAN156413,2,13,1,1.2380952380952381,1.0
95,ocds-0c46vo-0005-41205_Tender_41205ocds-0c46vo-0117-146173_Tender_146173,2,7,2,1.5714285714285714,2.0
96,ocds-0c46vo-0005-41205_Tender_41205ocds-0c46vo-0133-003061-2019_Tender_003061-2019_td,1,26,0,0.32,0.0
97,ocds-0c46vo-0005-41280_Tender_41280ocds-0c46vo-0009-DN349830-1_Tender_DN349830-1,2,7,1,1.3703703703703705,1.0
98,ocds-0c46vo-0005-41280_Tender_41280ocds-0c46vo-0015-1982807_Tender_1982807,2,13,0,0.85,1.0
99,ocds-0c46vo-0005-41280_Tender_41280ocds-0c46vo-0022-FEB285748_Tender_FEB285748,1,25,0,0.65,0.0
100,ocds-0c46vo-0005-41280_Tender_41280ocds-0c46vo-0133-009468-2019_Tender_009468-2019_td,2,8,1,1.4545454545454546,1.0
101,ocds-0c46vo-0005-41280_Tender_41280ocds-0c46vo-0133-050390-2019_Tender_050390-2019_td,3,1,3,3.0,3.0
