,pair_id,similarity_alg,relation,mean_similarity
0,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0009-DN370863-2_Tender_DN370863-2,2,16,1.9600000000000006
1,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0020-csw-jets_7167_Tender_csw-jets_7167,2,8,2.2400000000000015
2,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB283377_Tender_FEB283377,2,18,1.8800000000000003
3,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB284874_Tender_FEB284874,2,11,2.200000000000001
4,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB284875_Tender_FEB284875,2,7,2.3846153846153855
5,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB285287_Tender_FEB285287,2,13,1.692307692307693
6,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB285418_Tender_FEB285418,1,26,2.439999999999999
7,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB285503_Tender_FEB285503,1,25,2.0799999999999987
8,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB285545_Tender_FEB285545,1,27,1.1153846153846159
9,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-FEB344622_Tender_FEB344622,2,9,2.32
10,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-JAN281673_Tender_JAN281673,2,14,2.159999999999999
11,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-JAN342458_Tender_JAN342458,3,5,2.0
12,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0022-MAR288703_Tender_MAR288703,3,1,2.307692307692307
13,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-002672-2019_Tender_002672-2019_td,2,12,2.5384615384615397
14,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-007397-2019_Tender_007397-2019_td,2,10,1.7199999999999995
15,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-011742-2019_Tender_011742-2019_td,2,17,2.200000000000001
16,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-011869-2019_Tender_011869-2019_td,3,3,2.2307692307692317
17,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-012224-2019_Tender_012224-2019_td,2,15,1.5384615384615392
18,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-038622-2019_Tender_038622-2019_td,3,2,2.2400000000000015
19,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-046386-2019_Tender_046386-2019_td,1,28,1.2800000000000002
20,ocds-0c46vo-0005-39393_Tender_39393ocds-0c46vo-0133-096007-2019_Tender_096007-2019_td,3,4,1.5
21,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0009-DN379053-2_Tender_DN379053-2,2,14,1.5185185185185188
22,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0022-FEB284721_Tender_FEB284721,1,26,1.6296296296296287
23,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0022-FEB285290_Tender_FEB285290,1,25,2.185185185185184
24,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0022-JAN280239_Tender_JAN280239,3,1,2.666666666666666
25,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0133-002521-2019_Tender_002521-2019_td,0,34,1.333333333333333
26,ocds-0c46vo-0005-40737_Tender_40737ocds-0c46vo-0133-011876-2019_Tender_011876-2019_td,3,3,2.666666666666666
27,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0009-DN398295-1_Tender_DN398295-1,2,16,2.0740740740740744
28,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0022-FEB285222_Tender_FEB285222,1,26,1.7931034482758628
29,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0022-FEB285619_Tender_FEB285619,1,25,1.8965517241379304
30,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0022-JAN281686_Tender_JAN281686,2,15,2.0714285714285707
31,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0133-012216-2019_Tender_012216-2019_td,2,14,1.9310344827586197
32,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0133-025935-2019_Tender_025935-2019_td,2,13,1.7000000000000006
33,ocds-0c46vo-0005-40993_Tender_40993ocds-0c46vo-0133-132773-2019_Tender_132773-2019_td,3,4,2.5
34,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0009-DN341148-4_Tender_DN341148-4,2,12,1.8461538461538465
35,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0009-DN359933-1_Tender_DN359933-1,2,14,1.6666666666666663
36,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0009-DN400255-1_Tender_DN400255-1,3,1,2.714285714285714
37,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0020-norfolkcc_1436_Tender_norfolkcc_1436,2,7,2.4285714285714293
38,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-FEB284874_Tender_FEB284874,2,10,2.7692307692307687
39,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-FEB285608_Tender_FEB285608,1,27,1.8888888888888877
40,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-FEB285761_Tender_FEB285761,1,26,1.4444444444444438
41,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-FEB285930_Tender_FEB285930,1,25,2.115384615384615
42,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-JAN342482_Tender_JAN342482,2,18,1.4074074074074074
43,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0022-MAR286425_Tender_MAR286425,2,22,2.2307692307692317
44,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0117-140049_Tender_140049,2,8,1.8888888888888877
45,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0117-146519_Tender_146519,2,15,1.1923076923076927
46,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0133-002154-2019_Tender_002154-2019_td,2,16,1.1538461538461535
47,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0133-016480-2019_Tender_016480-2019_td,2,9,2.0714285714285707
48,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0133-016797-2019_Tender_016797-2019_td,2,11,2.7777777777777772
49,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0133-030682-2019_Tender_030682-2019_td,2,13,1.807692307692307
50,ocds-0c46vo-0005-41008_Tender_41008ocds-0c46vo-0133-077155-2019_Tender_077155-2019_td,1,29,2.5
51,ocds-0c46vo-0005-41036_Tender_41036ocds-0c46vo-0022-FEB284720_Tender_FEB284720,2,14,2.4482758620689666
52,ocds-0c46vo-0005-41036_Tender_41036ocds-0c46vo-0022-FEB285611_Tender_FEB285611,2,7,1.5925925925925928
53,ocds-0c46vo-0005-41036_Tender_41036ocds-0c46vo-0049-E65365882_Tender_E65365882,1,25,1.0740740740740735
54,ocds-0c46vo-0005-41036_Tender_41036ocds-0c46vo-0133-024194-2019_Tender_024194-2019_td,3,1,3.0
55,ocds-0c46vo-0005-41036_Tender_41036ocds-0c46vo-0133-030999-2019_Tender_030999-2019_td,2,8,1.7037037037037028
56,ocds-0c46vo-0005-41036_Tender_41036ocds-0c46vo-0133-047064-2019_Tender_047064-2019_td,2,13,2.192307692307693
57,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0020-queensuniversitybelfast_991_Tender_queensuniversitybelfast_991,2,16,2.0714285714285707
58,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0020-sheffield_1955_Tender_sheffield_1955,2,8,2.0370370370370376
59,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB282678_Tender_FEB282678,2,15,1.75
60,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB284639_Tender_FEB284639,2,17,1.807692307692307
61,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB285103_Tender_FEB285103,1,25,1.7777777777777783
62,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB285396_Tender_FEB285396,0,34,2.115384615384615
63,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB285575_Tender_FEB285575,1,27,1.807692307692307
64,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB285724_Tender_FEB285724,1,26,1.807692307692307
65,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB285732_Tender_FEB285732,1,33,2.0370370370370376
66,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB285802_Tender_FEB285802,1,29,1.6666666666666663
67,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-FEB285806_Tender_FEB285806,2,18,2.2692307692307683
68,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-JAN281518_Tender_JAN281518,2,7,3.0
69,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0022-MAR286089_Tender_MAR286089,2,13,2.0384615384615397
70,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0117-114662_Tender_114662,1,31,1.769230769230769
71,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0117-147826_Tender_147826,2,10,2.5384615384615397
72,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0133-015735-2019_Tender_015735-2019_td,2,14,1.5714285714285714
73,ocds-0c46vo-0005-41074_Tender_41074ocds-0c46vo-0133-066499-2019_Tender_066499-2019_td,3,1,2.0
74,ocds-0c46vo-0005-41096_Tender_41096ocds-0c46vo-0022-FEB285173_Tender_FEB285173,2,7,1.5925925925925928
75,ocds-0c46vo-0005-41096_Tender_41096ocds-0c46vo-0022-FEB343839_Tender_FEB343839,2,8,1.9629629629629624
76,ocds-0c46vo-0005-41096_Tender_41096ocds-0c46vo-0022-FEB344783_Tender_FEB344783,2,14,1.9629629629629624
77,ocds-0c46vo-0005-41096_Tender_41096ocds-0c46vo-0022-FEB346855_Tender_FEB346855,2,13,2.107142857142856
78,ocds-0c46vo-0005-41096_Tender_41096ocds-0c46vo-0117-141341_Tender_141341,1,25,1.3461538461538465
79,ocds-0c46vo-0005-41096_Tender_41096ocds-0c46vo-0133-030743-2019_Tender_030743-2019_td,3,1,3.0
80,ocds-0c46vo-0005-41203_Tender_41203ocds-0c46vo-0009-DN387392-1_Tender_DN387392-1,2,14,2.192307692307693
81,ocds-0c46vo-0005-41203_Tender_41203ocds-0c46vo-0022-FEB285444_Tender_FEB285444,1,25,2.206896551724137
82,ocds-0c46vo-0005-41203_Tender_41203ocds-0c46vo-0022-FEB345771_Tender_FEB345771,2,7,1.733333333333334
83,ocds-0c46vo-0005-41203_Tender_41203ocds-0c46vo-0022-MAR287978_Tender_MAR287978,3,1,2.4285714285714293
84,ocds-0c46vo-0005-41203_Tender_41203ocds-0c46vo-0133-007289-2019_Tender_007289-2019_td,2,8,1.4642857142857149
85,ocds-0c46vo-0005-41204_Tender_41204ocds-0c46vo-0005-41205_Tender_41205,3,1,2.9259259259259247
86,ocds-0c46vo-0005-41204_Tender_41204ocds-0c46vo-0022-FEB284020_Tender_FEB284020,2,15,2.3461538461538463
87,ocds-0c46vo-0005-41204_Tender_41204ocds-0c46vo-0022-FEB285135_Tender_FEB285135,1,25,1.366666666666667
88,ocds-0c46vo-0005-41204_Tender_41204ocds-0c46vo-0096-JAN156413_Tender_JAN156413,2,13,1.807692307692307
89,ocds-0c46vo-0005-41204_Tender_41204ocds-0c46vo-0117-146173_Tender_146173,2,7,2.275862068965517
90,ocds-0c46vo-0005-41204_Tender_41204ocds-0c46vo-0133-003061-2019_Tender_003061-2019_td,1,26,1.333333333333333
91,ocds-0c46vo-0005-41205_Tender_41205ocds-0c46vo-0005-41204_Tender_41204,3,1,2.9615384615384617
92,ocds-0c46vo-0005-41205_Tender_41205ocds-0c46vo-0022-FEB284020_Tender_FEB284020,2,15,2.2307692307692317
93,ocds-0c46vo-0005-41205_Tender_41205ocds-0c46vo-0022-FEB285135_Tender_FEB285135,1,25,1.5384615384615392
94,ocds-0c46vo-0005-41205_Tender_41205ocds-0c46vo-0096-JAN156413_Tender_JAN156413,2,13,1.730769230769231
95,ocds-0c46vo-0005-41205_Tender_41205ocds-0c46vo-0117-146173_Tender_146173,2,7,2.2307692307692317
96,ocds-0c46vo-0005-41205_Tender_41205ocds-0c46vo-0133-003061-2019_Tender_003061-2019_td,1,26,1.3076923076923075
97,ocds-0c46vo-0005-41280_Tender_41280ocds-0c46vo-0009-DN349830-1_Tender_DN349830-1,2,7,2.310344827586207
98,ocds-0c46vo-0005-41280_Tender_41280ocds-0c46vo-0015-1982807_Tender_1982807,2,13,1.2857142857142854
99,ocds-0c46vo-0005-41280_Tender_41280ocds-0c46vo-0022-FEB285748_Tender_FEB285748,1,25,1.5333333333333334
100,ocds-0c46vo-0005-41280_Tender_41280ocds-0c46vo-0133-009468-2019_Tender_009468-2019_td,2,8,2.0714285714285707
101,ocds-0c46vo-0005-41280_Tender_41280ocds-0c46vo-0133-050390-2019_Tender_050390-2019_td,3,1,2.884615384615385
